ques, op1, op2, op3, op4, correct_op
What is the capital of India?, Delhi, Mumbai, Kolkata, Chennai, Delhi
Who painted the Mona Lisa?, Leonardo da Vinci, Michelangelo, Raphael, Rembrandt, Leornardo da Vinci,
Which planet is known as the Red Planet?, Earth, Mars, Jupiter, Saturn, Mars
What is the largest mammal on Earth? Elephant, Blue Whale, Giraffe, Hippopotamus, Blue Whale
Whos is the author of the Harry Potter series?, J. K. Rowling, Stephen King, Dan Brown, George Orwell, J.K. Rowling
What is the chemical symbol for gold?, Au, Ag, Fe, Cu, Au
Which country won the 2022 FIFA World Cup? Argentina, France, Brazil, Germany, Argentina
What is the largest ocean in the world?, Atlantic, Pacific, Indian, Arctic, Pacific
Which animal is known as the king of the jungle?, Lion, Tiger, Elephant, Gorilla, Lion
Who wrote the play "Romeo and Juliet"? William Shakespeare, Jane Austen, Charles Dickens, Mark Twain, William Shakespeare